Date_Time,Minute,Status,Min_Class
49670,2020-07-01-12:43:41,43,1,f5
49671,2020-07-01-12:43:41,43,1,f5
49672,2020-07-01-12:43:43,43,1,f5
49673,2020-07-01-12:43:44,43,1,f5
49674,2020-07-01-12:43:46,43,0,f5
49675,2020-07-01-12:43:46,43,1,f5
49676,2020-07-01-12:43:48,43,1,f5
49677,2020-07-01-12:43:49,43,1,f5
49678,2020-07-01-12:43:49,43,0,f5
49679,2020-07-01-12:43:50,43,0,f5
49680,2020-07-01-12:43:50,43,1,f5
49681,2020-07-01-12:43:51,43,0,f5
49682,2020-07-01-12:43:51,43,0,f5
49683,2020-07-01-12:43:52,43,1,f5
49684,2020-07-01-12:43:52,43,1,f5
49685,2020-07-01-12:43:53,43,0,f5
49686,2020-07-01-12:43:53,43,1,f5
49687,2020-07-01-12:43:55,43,1,f5
49688,2020-07-01-12:43:55,43,0,f5
49689,2020-07-01-12:43:56,43,0,f5
49690,2020-07-01-12:43:56,43,0,f5
49691,2020-07-01-12:43:58,43,1,f5
49692,2020-07-01-12:43:58,43,0,f5
49693,2020-07-01-12:43:59,43,1,f5
49694,2020-07-01-12:44:00,44,1,f5
49695,2020-07-01-12:44:00,44,0,f5
49696,2020-07-01-12:44:01,44,1,f5
49697,2020-07-01-12:44:01,44,1,f5
49698,2020-07-01-12:44:02,44,0,f5
49699,2020-07-01-12:44:02,44,0,f5
49700,2020-07-01-12:44:03,44,0,f5
49701,2020-07-01-12:44:04,44,0,f5
49702,2020-07-01-12:44:05,44,0,f5
49703,2020-07-01-12:44:06,44,1,f5
49704,2020-07-01-12:44:06,44,1,f5
49705,2020-07-01-12:44:07,44,1,f5
49706,2020-07-01-12:44:07,44,1,f5
49707,2020-07-01-12:44:08,44,1,f5
49708,2020-07-01-12:44:08,44,1,f5
49709,2020-07-01-12:44:09,44,1,f5
49710,2020-07-01-12:44:10,44,1,f5
49711,2020-07-01-12:44:10,44,1,f5
49712,2020-07-01-12:44:11,44,1,f5
49713,2020-07-01-12:44:17,44,1,f5
49714,2020-07-01-12:44:18,44,1,f5
49715,2020-07-01-12:44:18,44,1,f5
49716,2020-07-01-12:44:19,44,1,f5
49717,2020-07-01-12:44:19,44,0,f5
49718,2020-07-01-12:44:20,44,0,f5
49719,2020-07-01-12:44:20,44,1,f5
49720,2020-07-01-12:44:20,44,1,f5
49721,2020-07-01-12:44:21,44,0,f5
49722,2020-07-01-12:44:21,44,0,f5
49723,2020-07-01-12:44:22,44,0,f5
49724,2020-07-01-12:44:25,44,0,f5
49725,2020-07-01-12:44:26,44,1,f5
49726,2020-07-01-12:44:27,44,0,f5
49727,2020-07-01-12:44:28,44,0,f5
49728,2020-07-01-12:44:29,44,0,f5
49729,2020-07-01-12:44:29,44,1,f5
49730,2020-07-01-12:44:30,44,0,f5
49731,2020-07-01-12:44:30,44,1,f5
49732,2020-07-01-12:44:31,44,0,f5
49733,2020-07-01-12:44:33,44,1,f5
49734,2020-07-01-12:44:36,44,0,f5
49735,2020-07-01-12:44:37,44,0,f5
49736,2020-07-01-12:44:38,44,1,f5
49737,2020-07-01-12:44:38,44,1,f5
49738,2020-07-01-12:44:39,44,0,f5
49739,2020-07-01-12:44:39,44,0,f5
49740,2020-07-01-12:44:40,44,1,f5
49741,2020-07-01-12:44:40,44,1,f5
49742,2020-07-01-12:44:41,44,0,f5
49743,2020-07-01-12:44:42,44,0,f5
49744,2020-07-01-12:44:42,44,0,f5
49745,2020-07-01-12:44:43,44,1,f5
49746,2020-07-01-12:44:43,44,0,f5
49747,2020-07-01-12:44:44,44,0,f5
49748,2020-07-01-12:44:44,44,0,f5
49749,2020-07-01-12:44:45,44,1,f5
49750,2020-07-01-12:44:45,44,1,f5
49751,2020-07-01-12:44:47,44,1,f5
49752,2020-07-01-12:44:48,44,1,f5
49753,2020-07-01-12:44:49,44,1,f5
49754,2020-07-01-12:44:50,44,1,f5
49755,2020-07-01-12:44:52,44,0,f5
49756,2020-07-01-12:44:53,44,1,f5
49757,2020-07-01-12:44:54,44,0,f5
49758,2020-07-01-12:44:57,44,0,f5
49759,2020-07-01-12:44:58,44,0,f5
49760,2020-07-01-12:44:58,44,1,f5
49761,2020-07-01-12:44:59,44,1,f5
49762,2020-07-01-12:45:00,45,0,f5
49763,2020-07-01-12:45:00,45,1,f5
49764,2020-07-01-12:45:02,45,0,f5
49765,2020-07-01-12:45:02,45,1,f5
49766,2020-07-01-12:45:03,45,0,f5
49767,2020-07-01-12:45:04,45,1,f5
49768,2020-07-01-12:45:04,45,0,f5
49769,2020-07-01-12:45:05,45,0,f5
49770,2020-07-01-12:45:05,45,0,f5
49771,2020-07-01-12:45:06,45,1,f5
49772,2020-07-01-12:45:06,45,1,f5
49773,2020-07-01-12:45:07,45,0,f5
49774,2020-07-01-12:45:07,45,0,f5
